batch,state,priority_order,district_name,city,county,staff_directory_url,page_title,visibility_status,names_visible,emails_visible,observed_email_domains,email_pattern_or_note,source_method,checked_candidates
CA-01,CA,11,Albany City Unified School District,Berkeley,Alameda County,https://www.albanyschools.org/schools/albanyhigh/directory,Staff Directory | Albany High School,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @albanyschools.org (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.albanyschools.org/schools/albanyhigh/directory (emails:0 names:True)
CA-01,CA,12,Albert Einstein Academy Charter Middle District,San Diego,San Diego County,https://einstein.scusd.edu/about/directory,Staff Directory - Albert Einstein Middle School,visible_names_and_emails,yes,yes,scusd.edu,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://einstein.scusd.edu/about/directory (emails:5 names:True)
CA-01,CA,13,Alexander Valley Union Elementary School District,Healdsburg,Sonoma County,https://alexandervalleyusd.org/about-us/faculty-and-staff/,Faculty and Staff – Alexander Valley School,visible_names_no_emails,yes,no,,no visible email found; pattern not verified,Manual web search verification with page text scan,
CA-01,CA,14,Alhambra Unified School District,Alhambra,Los Angeles County,https://www.ausd.us/apps/staff/,Staff Directory | Alhambra Unified School District,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @ausd.us (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.ausd.us/apps/staff/ (emails:0 names:True)
CA-01,CA,15,Alisal Union School District,Salinas,Monterey County,https://www.alisal.org/apps/staff/,Staff Directory | Alisal Union School District,visible_names_no_emails,yes,no,,district Edlio staff directory names visible; email may require contact form,Manual web search verification with page text scan,
CA-01,CA,16,Allensworth Elementary School District,Allensworth,Tulare County,https://www.allensworthesd.org/District/Staff/,Staff - Allensworth Elementary School District,visible_names_no_emails,yes,no,,no visible email found; pattern not verified,Manual web search verification with page text scan,
CA-01,CA,17,Alliance Marine - Innovation and Techn 6-12 Complex District,Los Angeles,Los Angeles County,https://alliancemit.org/staff-directory/,Alliance Marine - Innovation & Technology 6-12 Complex,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @alliancemit.org (pattern not verified),DuckDuckGo result fetched and page text scanned,https://alliancemit.org/staff-directory/ (emails:0 names:True)
CA-01,CA,18,Alpaugh Unified School District,Alpaugh,Tulare County,https://www.alpaughusd.org/portals/staff-portal,Staff Portal,not_verified_visible,unclear/no,no,,no visible email found; possible domain only: @alpaughusd.org (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.alpaughusd.org/portals/staff-portal (emails:0 names:False) | https://www.alpaughusd.org/ (emails:0 names:False) | https://www.alpaughusd.org/departments/district-office (emails:0 names:True)
CA-01,CA,19,Alpine County Office Of Education School District,Markleeville,Alpine County,https://www.alpinecoe.k12.ca.us/District/Staff,Staff - Alpine County Office of Education Alpine County Unified School District,visible_names_no_emails,yes,no,,joint Alpine County Office/Unified staff page; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,20,Alpine County Unified School District,Markleeville,Alpine County,https://www.alpinecoe.k12.ca.us/District/Staff,Staff - Alpine County Office of Education Alpine County Unified School District,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @alpinecoe.k12.ca.us (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.alpinecoe.k12.ca.us/District/Staff (emails:0 names:True)
CA-01,CA,21,Alpine Union Elementary School District,Alpine,San Diego County,https://www.alpineschools.net/staff,Staff | Alpine Union School District,visible_names_no_emails,yes,no,,names visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,22,Alta Loma Elementary School District,Rancho Cucamonga,San Bernardino County,https://www.alsd.k12.ca.us/staff,Staff | Alta Loma School District,visible_names_no_emails,yes,no,,names visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,23,Alta Vista Elementary School District,Porterville,Tulare County,https://www.altavistaesd.org/staff,Staff | Alta Vista Elementary School,visible_names_no_emails,yes,no,,names visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,24,Alta-Dutch Flat Union Elementary School District,Alta,Placer County,https://www.alta.k12.ca.us/our-school/staff,Alta-Dutch Flat School - Staff,visible_names_no_emails,yes,no,,names visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,25,Alternatives in Action District,Oakland,Alameda County,https://www.alternativesinaction.org/our-staff,Staff Directory - Des Moines Public Schools,visible_names_no_emails,yes,no,,names/roles visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,26,Alum Rock Union Elementary School District,San Jose,Santa Clara County,https://www.arusd.org/about-us/staff-directory,Directory - Alum Rock Union School District,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @arusd.org (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.arusd.org/about-us/staff-directory (emails:0 names:True)
CA-01,CA,27,Alview-Dairyland Union Elementary School District,Chowchilla,Madera County,https://www.adusd.k12.ca.us/staff,Staff,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @adusd.k12.ca.us (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.adusd.k12.ca.us/staff (emails:0 names:True)
CA-01,CA,28,Alvina Elementary School District,Caruthers,Fresno County,https://alvinaelementaryschool.org/,Alvina Elementary Charter School District,not_verified_visible,unclear/no,no,,"official school site found, but no dedicated visible staff directory found in first pass",Manual web search verification with page text scan,
CA-01,CA,29,Alvord Unified School District,Corona,Riverside County,https://www.alvordschools.org/10061_4,Alvord Unified School District - Staff Directory,visible_names_and_emails,yes,yes,alvordschools.org,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://www.alvordschools.org/10061_4 (emails:2 names:True)
CA-01,CA,30,Amador County Office Of Education School District,Jackson,Amador County,https://www.amadorcoe.org/dodirectory,Amador County Unified School District - District Office Staff Directory,visible_names_and_emails,yes,yes,acusd.org,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://www.amadorcoe.org/dodirectory (emails:1 names:True)
CA-01,CA,31,Amador County Rop School District,Jackson,Amador County,https://www.amadorcoe.org/79028_2,Amador County Unified School District - District Office Staff Directory,visible_names_and_emails,yes,yes,acusd.org,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://www.amadorcoe.org/79028_2 (emails:1 names:True)
CA-01,CA,32,Amador County Unified School District,Jackson,Amador County,https://www.amadorcoe.org/dodirectory,Amador County Unified School District - District Office Staff Directory,visible_names_and_emails,yes,yes,acusd.org,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://www.amadorcoe.org/dodirectory (emails:1 names:True)
CA-01,CA,33,American Indian Public Charter District,Oakland,Alameda County,https://aimsk12.org/,AIMS K-12,not_verified_visible,unclear/no,no,,"official AIMS site found, but no dedicated visible staff directory found in first pass",Manual web search verification with page text scan,
CA-01,CA,34,American Indian Public High District,Oakland,Alameda County,https://aimsk12.org/,AIMS K-12,not_verified_visible,unclear/no,no,,"official AIMS site found, but no dedicated visible staff directory found in first pass",Manual web search verification with page text scan,
CA-01,CA,35,Anaheim Elementary School District,Anaheim,Orange County,https://anaheimelementary.org/educational-services/staff-directory/,Staff Directory – Educational Services,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @anaheimelementary.org (pattern not verified),DuckDuckGo result fetched and page text scanned,https://anaheimelementary.org/educational-services/staff-directory/ (emails:0 names:True)
CA-01,CA,36,Anaheim Union High School District,Anaheim,Orange County,https://www.auhsd.us/District/Staff/,Staff - Anaheim UHSD,visible_names_and_emails,yes,yes,auhsd.us; iescentral.com,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://www.auhsd.us/District/Department/3860-Special-Youth-Services/47403-Staff-Directory.html (emails:0 names:False) | https://www.auhsd.us/District/Staff/ (emails:4 names:True)
CA-01,CA,37,Anahuacalmecac International Univ Prep N. America District,Los Angeles,Los Angeles County,https://www.anawakalmekak.org/,Anawakalmekak,not_verified_visible,unclear/no,no,,"official site found, but no dedicated visible staff directory found in first pass",Manual web search verification with page text scan,
CA-01,CA,38,Anderson Union High School District,Anderson,Shasta County,https://www.auhsd.net/Staff-Directory/index.html,Anderson Union High School District - Staff Directory,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @auhsd.net (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.auhsd.net/Staff-Directory/index.html (emails:0 names:True)
CA-01,CA,39,Anderson Valley Unified School District,Boonville,Mendocino County,https://www.avpanthers.org/apps/pages/index.jsp?uREC_ID=3733800&type=d&pREC_ID=2432695,Staff – Staff – Anderson Valley Unified,visible_names_no_emails,yes,no,,staff names/roles visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,40,Animo Phillis Wheatley Charter Middle District,Los Angeles,Los Angeles County,http://animowheatley.weebly.com/,Animo Phillis Wheatley Staff Site - About Phillis Wheatley,not_verified_visible,unclear/no,no,,legacy staff/about site found; no current visible staff email directory verified,Manual web search verification with page text scan,
CA-01,CA,41,Antelope Elementary School District,Red Bluff,Tehama County,https://www.antelopeschools.org/Staff-Directory/,Antelope ESD - Staff Directory,visible_names_no_emails,yes,no,,names visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,42,Antelope Valley Rop School District,Palmdale,Los Angeles County,https://www.avdistrict.org/about/contact-information,District Contact & Information - District,visible_names_no_emails,yes,no,,contact/staff information visible; no full staff email directory verified,Manual web search verification with page text scan,
CA-01,CA,43,Antelope Valley Union High School District,Lancaster,Los Angeles County,https://www.avdistrict.org/,Home - District,not_verified_visible,unclear/no,no,,official district site found; no visible district staff directory verified in first pass,Manual web search verification with page text scan,
CA-01,CA,44,Antioch Unified School District,Antioch,Contra Costa County,https://www.antiochschools.net/staff,Staff | Antioch Unified School District,visible_names_no_emails,yes,no,,names visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,45,Apple Valley Unified School District,Apple Valley,San Bernardino County,https://sites.google.com/avusd.org/apple/staff-directory,AVHS - STAFF DIRECTORY,visible_names_and_emails,yes,yes,avusd.org,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://sites.google.com/avusd.org/apple/staff-directory (emails:67 names:True)
CA-01,CA,46,Arcadia Unified School District,Arcadia,Los Angeles County,https://www.ausd.net/apps/staff/,Staff Directory | Arcadia USD,visible_names_no_emails,yes,no,,district Edlio staff directory names visible; email may require contact form,Manual web search verification with page text scan,
CA-01,CA,47,Arcata Elementary School District,Arcata,Humboldt County,https://www.arcataschooldistrict.org/apps/staff/,Staff Directory | Arcata Elementary School District,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @arcataschooldistrict.org (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.arcataschooldistrict.org/apps/staff/ (emails:0 names:True)
CA-01,CA,48,Arcohe Union Elementary School District,Herald,Sacramento County,https://www.arcohe.net/staff,Staff | Arcohe School,visible_names_no_emails,yes,no,,names visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,49,Arena Union Elementary School District,Point Arena,Mendocino County,https://pointarenaschools.org/aes/faculty-staff/,,visible_names_no_emails,yes,no,,faculty/staff page visible; no visible email pattern verified,Manual web search verification with page text scan,
CA-01,CA,50,ARISE High District,Oakland,Alameda County,https://arisehighschool.org/staff-directory,Staff Directory | ARISE High School,visible_names_and_emails,yes,yes,arisehighschol.org; arisehighschool.org; domain.com,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://arisehighschool.org/staff-directory (emails:63 names:True)
