batch,state,priority_order,district_name,city,county,staff_directory_url,page_title,visibility_status,names_visible,emails_visible,observed_email_domains,email_pattern_or_note,source_method,checked_candidates
CA-02,CA,61,Azusa Unified School District,Azusa,Los Angeles County,https://www.azusa.org/directory1,Directory | Azusa Unified School District,general_directory_no_staff_list,no,no,azusa.org,district directory/contact page only; IPCA/CDE secondary sources publish administrator emails,Web search result fetched/snippet reviewed,https://www.azusa.org/directory1; https://www.ip-ca.org/ca-all-districts/azusa-unified
CA-02,CA,62,Baker Valley Unified School District,Baker,San Bernardino County,https://www.bakercsd.com/,Baker Valley Unified School District,not_verified_visible,unknown,unknown,,official site located but staff directory/email visibility not verified in this pass,Web search/manual domain check,https://www.bakercsd.com/
CA-02,CA,63,Bakersfield City School District,Bakersfield,Kern County,https://www.bcsd.com/,Bakersfield City School District,not_verified_visible,unknown,unknown,bcsd.com,official site located; staff-directory page not confirmed; secondary sources indicate district email domain,Web search result/snippet reviewed,https://www.bcsd.com/; https://www.californiaschoolratings.org/school-districts/Bakersfield-City
CA-02,CA,64,Baldwin Park Unified School District,Baldwin Park,Los Angeles County,https://www.bpusd.net/apps/staff/,Staff Directory | Baldwin Park Unified School District,visible_names_no_emails,yes,no,,Edlio staff page lists names/roles; no visible email addresses in crawled text,Web search result fetched/snippet reviewed,https://www.bpusd.net/apps/staff/
CA-02,CA,65,Baldy View Rop School District,Ontario,San Bernardino County,https://www.baldyviewrop.com/directory,Directory | Baldy View Regional Occupational Program,not_verified_visible,unknown,unknown,,directory page found but crawled snippet did not expose names/emails,Web search result fetched/snippet reviewed,https://www.baldyviewrop.com/directory
CA-02,CA,66,Ballard Elementary School District,Solvang,Santa Barbara County,https://ballardschool.org/contact/,Contact Us | Ballard Elementary School,partial_directory_reference,unknown,unknown,,contact page references staff directory; individual staff list/email visibility not verified,Web search result fetched/snippet reviewed,https://ballardschool.org/contact/
CA-02,CA,67,Ballico-Cressey Elementary School District,Ballico,Merced County,https://www.ballicocressey.com/apps/staff/,Staff Directory | Ballico Cressey School District,visible_names_email_links,yes,yes,ballicocressey.com,Edlio staff page lists staff and email links; exact addresses may be hidden behind mail links,Web search result fetched/snippet reviewed,https://www.ballicocressey.com/apps/staff/
CA-02,CA,68,Bangor Union Elementary School District,Bangor,Butte County,https://bangorunion.org/,Bangor Union Elementary School District,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://bangorunion.org/
CA-02,CA,69,Banning Unified School District,Banning,Riverside County,https://www.banning.k12.ca.us/o/busd/page/contact-us,Contact Us | Banning Unified School District,partial_department_contacts,no,yes,banning.k12.ca.us,contact page publishes district communication email and department list but not staff names,Web search result fetched/snippet reviewed,https://www.banning.k12.ca.us/o/busd/page/contact-us
CA-02,CA,70,Banta Elementary School District,Tracy,San Joaquin County,https://www.bantasd.org/about_banta_e_s_d/district_staff,District Staff | Banta Elementary School District,visible_names_and_emails,yes,yes,bantasd.org,publishes district staff names/titles and protected email text,Web search result fetched/snippet reviewed,https://www.bantasd.org/about_banta_e_s_d/district_staff
CA-02,CA,71,Barstow Unified School District,Barstow,San Bernardino County,https://www.busdk12.com/our-district/staff-directory,Staff Directory | Barstow Unified School District,visible_names_no_emails,yes,no,busdk12.com,staff directory lists names/locations with email fields blank in crawled text; CDE publishes administrator emails,Web search result fetched/snippet reviewed,https://www.busdk12.com/our-district/staff-directory; https://www.cde.ca.gov/schooldirectory/details?cdscode=36676110000000
CA-02,CA,72,Bass Lake Joint Union Elementary School District,Oakhurst,Madera County,https://www.basslakeschooldistrict.com/,Bass Lake Joint Union Elementary School District,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://www.basslakeschooldistrict.com/
CA-02,CA,73,Bassett Unified School District,La Puente,Los Angeles County,https://www.bassettusd.org/apps/staff/,Staff Directory | Bassett Unified School District,not_verified_visible,unknown,unknown,,probable official Edlio staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.bassettusd.org/apps/staff/
CA-02,CA,74,Bayshore Elementary School District,Daly City,San Mateo County,https://www.cde.ca.gov/schooldirectory/details?cdscode=41688580000000,Bayshore Elementary - School Directory Details,visible_admin_contacts_only,yes,yes,thebayshoreschool.org,CDE publishes administrator names and emails; no broader staff directory confirmed,Web search result fetched/snippet reviewed,https://www.thebayshoreschool.org/; https://www.cde.ca.gov/schooldirectory/details?cdscode=41688580000000
CA-02,CA,75,Bear Valley Unified School District,Big Bear Lake,San Bernardino County,https://www.bearvalleyusd.org/departments,Departments | Bear Valley Unified School District,not_verified_visible,unknown,unknown,,official departments page found; staff-name/email visibility not verified,Web search result fetched/snippet reviewed,https://www.bearvalleyusd.org/departments
CA-02,CA,76,Beardsley Elementary School District,Bakersfield,Kern County,https://www.beardsleyschool.org/apps/pages/index.jsp?pREC_ID=2402511&type=d&uREC_ID=3567202,Staff | Beardsley Elementary School,visible_names_and_emails,yes,yes,beardsley.k12.ca.us,school staff page publishes names/titles/extensions and protected email text,Web search result fetched/snippet reviewed,https://www.beardsleyschool.org/apps/pages/index.jsp?pREC_ID=2402511&type=d&uREC_ID=3567202
CA-02,CA,77,Beaumont Unified School District,Beaumont,Riverside County,https://www.beaumontusd.us/apps/staff/,Staff Directory | Beaumont Unified School District,visible_names_email_links,yes,yes,beaumontusd.us,Edlio staff page lists names/roles and email links; exact addresses may be hidden behind mail links,Web search result fetched/snippet reviewed,https://www.beaumontusd.us/apps/staff/
CA-02,CA,78,Bella Vista Elementary School District,Bella Vista,Shasta County,https://www.cde.ca.gov/schooldirectory/details?cdscode=45698230000000,Bella Vista Elementary - School Directory Details,visible_admin_contacts_only,yes,yes,,CDE district record used because searches returned same-named schools in other districts; full staff directory not confirmed,Web search/disambiguation,https://www.ip-ca.org/ca-all-districts/bella-vista-elementary; https://www.cde.ca.gov/schooldirectory/details?cdscode=45698230000000
CA-02,CA,79,Belleview Elementary School District,Sonora,Tuolumne County,https://mybelleview.org/,Belleview Elementary School,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Web search result fetched/snippet reviewed,https://mybelleview.org/
CA-02,CA,80,Bellevue Union School District,Santa Rosa,Sonoma County,https://www.busd.org/,Bellevue Union School District,not_verified_visible,unknown,unknown,busd.org,official site located; special education page exposes department email but no staff directory confirmed,Web search result fetched/snippet reviewed,https://www.busd.org/; https://www.busd.org/parents/info/special-education
CA-02,CA,81,Bellflower Unified School District,Bellflower,Los Angeles County,https://www.busd.k12.ca.us/apps/staff/,Staff Directory | Bellflower Unified School District,not_verified_visible,unknown,unknown,,probable official staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.busd.k12.ca.us/apps/staff/
CA-02,CA,82,Belmont-Redwood Shores Elementary School District,Belmont,San Mateo County,https://www.brssd.org/apps/staff/,Staff Directory | Belmont-Redwood Shores School District,not_verified_visible,unknown,unknown,,probable official staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.brssd.org/apps/staff/
CA-02,CA,83,Benicia Unified School District,Benicia,Solano County,https://beniciaunified.org/staff-directory/,Staff Directory | Benicia Unified School District,not_verified_visible,unknown,unknown,,official-looking staff directory URL recorded for follow-up,Manual web search/domain check,https://beniciaunified.org/staff-directory/
CA-02,CA,84,Bennett Valley Union Elementary School District,Santa Rosa,Sonoma County,https://www.bvusd.org/apps/staff/,Staff Directory | Bennett Valley Union School District,not_verified_visible,unknown,unknown,,probable official staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.bvusd.org/apps/staff/
CA-02,CA,85,Berkeley Unified School District,Berkeley,Alameda County,https://www.berkeleyschools.net/departments/human-resources/staff-directory/,Staff Directory | Berkeley Unified School District,not_verified_visible,unknown,unknown,berkeley.net,official staff-directory path located; visibility requires follow-up verification,Manual web search/domain check,https://www.berkeleyschools.net/departments/human-resources/staff-directory/
CA-02,CA,86,Berryessa Union Elementary School District,San Jose,Santa Clara County,https://www.berryessa.k12.ca.us/apps/staff/,Staff Directory | Berryessa Union School District,not_verified_visible,unknown,unknown,,probable official Edlio staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.berryessa.k12.ca.us/apps/staff/
CA-02,CA,87,Beverly Hills Unified School District,Beverly Hills,Los Angeles County,https://www.bhusd.org/apps/staff/,Staff Directory | Beverly Hills Unified School District,not_verified_visible,unknown,unknown,,probable official Edlio staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.bhusd.org/apps/staff/
CA-02,CA,88,Big Creek Elementary School District,Big Creek,Fresno County,https://www.bigcreekschool.com/,Big Creek Elementary School,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://www.bigcreekschool.com/
CA-02,CA,89,Big Lagoon Union Elementary School District,Trinidad,Humboldt County,https://www.biglagoon.org/,Big Lagoon School,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://www.biglagoon.org/
CA-02,CA,90,Big Oak Flat-Groveland Unified School District,Groveland,Tuolumne County,https://www.bofg.org/apps/staff/,Staff Directory | Big Oak Flat-Groveland Unified School District,not_verified_visible,unknown,unknown,,probable official staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.bofg.org/apps/staff/
CA-02,CA,91,Big Pine Unified School District,Big Pine,Inyo County,https://www.bigpineschools.org/apps/staff/,Staff Directory | Big Pine Unified School District,not_verified_visible,unknown,unknown,,probable official staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.bigpineschools.org/apps/staff/
CA-02,CA,92,Big Springs Union Elementary School District,Montague,Siskiyou County,https://www.cde.ca.gov/schooldirectory/details?cdscode=47704150000000,Big Springs Union Elementary - School Directory Details,visible_admin_contacts_only,yes,yes,,CDE administrator contacts used; no broader official staff directory confirmed,Manual CDE fallback,https://www.cde.ca.gov/schooldirectory/details?cdscode=47704150000000
CA-02,CA,93,Big Sur Unified School District,Big Sur,Monterey County,https://www.bigsurunified.org/,Big Sur Unified School District,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://www.bigsurunified.org/
CA-02,CA,94,Big Valley Joint Unified School District,Bieber,Lassen County,https://www.bigvalleyschools.org/,Big Valley Joint Unified School District,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://www.bigvalleyschools.org/
CA-02,CA,95,Biggs Unified School District,Biggs,Butte County,https://www.biggs.org/apps/staff/,Staff Directory | Biggs Unified School District,not_verified_visible,unknown,unknown,,probable official Edlio staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.biggs.org/apps/staff/
CA-02,CA,96,Bishop Unified School District,Bishop,Inyo County,https://www.bishopschools.org/apps/staff/,Staff Directory | Bishop Unified School District,not_verified_visible,unknown,unknown,,probable official Edlio staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.bishopschools.org/apps/staff/
CA-02,CA,97,Bitterwater-Tully Elementary School District,King City,Monterey County,https://www.bitterwatertully.org/,Bitterwater-Tully Elementary School District,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://www.bitterwatertully.org/
CA-02,CA,98,Black Butte Union Elementary School District,Shingletown,Shasta County,https://www.blackbutteschool.org/,Black Butte Union Elementary School District,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://www.blackbutteschool.org/
CA-02,CA,99,Black Oak Mine Unified School District,Georgetown,El Dorado County,https://www.bomusd.org/apps/staff/,Staff Directory | Black Oak Mine Unified School District,not_verified_visible,unknown,unknown,,probable official Edlio staff URL; visibility requires follow-up verification,Manual pattern/domain check,https://www.bomusd.org/apps/staff/
CA-02,CA,100,Blake Elementary School District,Woody,Kern County,https://www.blakeschool.org/,Blake Elementary School District,not_verified_visible,unknown,unknown,,official site located; staff directory/email visibility not verified in this pass,Manual web search/domain check,https://www.blakeschool.org/
